24953 [INFO] 24953 Byte read from stdin: '
24953 [INFO] 24953 Byte read from stdin: s
24953 [INFO] 24953 Byte read from stdin: o
24953 [INFO] 24953 Byte read from stdin: u
24953 [INFO] 24953 Byte read from stdin: t
24953 [INFO] 24953 Byte read from stdin: -
24953 [INFO] 24953 Byte read from stdin: 3
24953 [INFO] 24953 Byte read from stdin: .
24953 [INFO] 24953 Byte read from stdin: 8
24953 [INFO] 24953 Byte read from stdin: 6
24953 [INFO] 24953 Byte read from stdin: 4
24953 [INFO] 24953 Byte read from stdin: 5
24953 [INFO] 24953 Byte read from stdin: 3
24953 [INFO] 24953 Byte read from stdin:  
24953 [INFO] 24953 Byte read from stdin: 3
24953 [INFO] 24953 Byte read from stdin: .



  _____  _____   ____   _____ 
 |  __ \|  __ \ / __ \ / ____|          Powered by PROS for VEX V5
 | |__) | |__) | |  | | (___      Version:                          3.3.1
 |  ___/|  _  /| |  | |\___ \     Uptime:                        24.974 s
 | |    | | \ \| |__| |____) |    Compiled:                       Unknown
 |_|    |_|  \_\\____/|_____/     Directory:                      Unknown


27766 [INFO], 2, motor added at 0x38e63d8
27766 [INFO], 2, motor added at 0x38e6370
27766 [INFO], 2, motor added at 0x38e6308
27766 [INFO], 2, motor added at 0x38e66a8
27766 [INFO], 2, motor added at 0x38e6440
27766 [INFO], 2, motor added at 0x38e64a8
27766 [INFO], 2, motor added at 0x38e6578
27766 [INFO], 2, motor added at 0x38e6510
27766 [INFO] CHASSIS_PID_TURN, Time: 2118, Actual_Vol1: 6.000000, Actual_Vol2: 0.000000, Actual_Vol3: 0.000000, Actual_Vol4: 0.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 0.000000, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: 0.000000, Absolute Angle: -0.000144, error history: 1, history size: 20, time out time: -2147481531, error difference: 0.000000, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27766 [INFO] CHASSIS_PID_TURN, Time: 2128, Actual_Vol1: -6.000000, Actual_Vol2: -6.000000, Actual_Vol3: -12.000000, Actual_Vol4: 0.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 900.011435, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.001143, Absolute Angle: -0.000164, error history: 2, history size: 20, time out time: -2147481531, error difference: 0.001143, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27766 [INFO] CHASSIS_PID_TURN, Time: 2138, Actual_Vol1: 0.000000, Actual_Vol2: 0.000000, Actual_Vol3: 0.000000, Actual_Vol4: 0.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 1800.035220, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.002378, Absolute Angle: -0.000186, error history: 3, history size: 20, time out time: -2147481531, error difference: 0.002378, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27768 [INFO] CHASSIS_PID_TURN, Time: 2148, Actual_Vol1: 0.000000, Actual_Vol2: 0.000000, Actual_Vol3: -12.000000, Actual_Vol4: 0.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 2700.071856, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.003664, Absolute Angle: -0.000208, error history: 4, history size: 20, time out time: -2147481531, error difference: 0.003664, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27768 [INFO] CHASSIS_PID_TURN, Time: 2158, Actual_Vol1: 0.000000, Actual_Vol2: 6.000000, Actual_Vol3: 74.000000, Actual_Vol4: -80.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 3600.122100, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.005024, Absolute Angle: -0.000232, error history: 5, history size: 20, time out time: -2147481531, error difference: 0.005024, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27768 [INFO] CHASSIS_PID_TURN, Time: 2168, Actual_Vol1: 0.000000, Actual_Vol2: 0.000000, Actual_Vol3: 277.000000, Actual_Vol4: -277.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 4500.187036, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.006494, Absolute Angle: -0.000258, error history: 6, history size: 20, time out time: -2147481531, error difference: 0.006494, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27770 [INFO] CHASSIS_PID_TURN, Time: 2178, Actual_Vol1: 0.000000, Actual_Vol2: 0.000000, Actual_Vol3: 320.000000, Actual_Vol4: -320.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 5400.267413, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.008038, Absolute Angle: -0.000285, error history: 7, history size: 20, time out time: -2147481531, error difference: 0.008038, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: -0.000000, Actual_Vel4: 0.000000
27770 [INFO] CHASSIS_PID_TURN, Time: 2188, Actual_Vol1: 265.000000, Actual_Vol2: -259.000000, Actual_Vol3: 653.000000, Actual_Vol4: -659.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 6300.364161, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.009675, Absolute Angle: -0.000313, error history: 8, history size: 20, time out time: -2147481531, error difference: 0.009675, over slew: 1, Actual_Vel1: 0.000000, Actual_Vel2: -0.000000, Actual_Vel3: 8.200000, Actual_Vel4: 0.000000
27770 [INFO] CHASSIS_PID_TURN, Time: 2198, Actual_Vol1: 499.000000, Actual_Vol2: -499.000000, Actual_Vol3: 770.000000, Actual_Vol4: -912.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 7200.477785, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.011362, Absolute Angle: -0.000343, error history: 9, history size: 20, time out time: -2147481531, error difference: 0.011362, over slew: 1, Actual_Vel1: 20.800000, Actual_Vel2: -0.000000, Actual_Vel3: 12.200000, Actual_Vel4: -12.200000
27772 [INFO] CHASSIS_PID_TURN, Time: 2208, Actual_Vol1: 795.000000, Actual_Vol2: -869.000000, Actual_Vol3: 1195.000000, Actual_Vol4: -1220.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 8100.608902, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.013112, Absolute Angle: -0.000373, error history: 10, history size: 20, time out time: -2147481531, error difference: 0.013112, over slew: 1, Actual_Vel1: 20.800000, Actual_Vel2: -0.000000, Actual_Vel3: 17.400000, Actual_Vel4: -18.400000
27772 [INFO] CHASSIS_PID_TURN, Time: 2218, Actual_Vol1: 1318.000000, Actual_Vol2: -1392.000000, Actual_Vol3: 1540.000000, Actual_Vol4: -1614.000000, Slew: 15.000000, Brake: 1, Gear: 2, I_max: 2147483647.000000, I: 9000.758792, kD: 35.000000, kI: 0.000700, kP: 3.000000, Position_Sp: 0, position_l: 0.000000, position_r: 0.000000, Heading_Sp: 90.000000, Relative_Heading: -0.014989, Absolute Angle: -0.000406, error history: 11, history size: 20, time out time: -2147481531, error difference: 0.014989, over slew: 1, Actual_Vel1: 20.000000, Actual_Vel2: -7.200000, Actual_Vel3: 36.200000, Actual_Vel4: -31.400000
